conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:7211_conv:14423,sad,"['sad', 'proud', 'grateful']",sad,1.0
hit:1020_conv:2040,angry,"['proud', ' confident', ' grateful']",proud,
hit:2214_conv:4428,lonely,"['lonely', 'surprised', 'annoyed']",lonely,1.0
hit:2919_conv:5838,jealous,"['excited', ' hopeful', ' curious']",excited,
hit:3673_conv:7346,ashamed,"['disgusted', 'embarrassed', 'sad']",disgusted,
hit:4596_conv:9193,annoyed,"['sad', 'annoyed', 'hopeful']",sad,2.0
hit:2944_conv:5889,terrified,"['afraid', ' grateful', ' relieved']",afraid,
hit:3673_conv:7346,ashamed,"['ashamed', 'embarrassed', 'sad']",ashamed,1.0
hit:7388_conv:14776,excited,"['excited', 'content', 'proud']",excited,1.0
hit:984_conv:1969,impressed,"['impressed', 'excited', 'sad']",impressed,1.0
hit:2218_conv:4436,sad,"['sad', ' anxious', ' hopeful']",sad,1.0
hit:7149_conv:14299,furious,"['angry', ' disappointed', ' betrayed']",angry,
hit:7172_conv:14345,sentimental,"['sentimental', ' attached', ' nostalgic']",sentimental,1.0
hit:8346_conv:16692,confident,"['proud', ' grateful', ' hopeful']",proud,
hit:9321_conv:18642,anxious,"['anxious', ' hopeful', ' caring']",anxious,1.0
hit:12122_conv:24245,confident,"['proud', ' excited', ' grateful']",proud,
hit:5819_conv:11638,jealous,"['jealous', ' excited', ' impressed']",jealous,1.0
hit:5965_conv:11931,terrified,"['nostalgic', ' hopeful', ' concerned']",nostalgic,
hit:7172_conv:14345,sentimental,"['proud', ' nostalgic', ' reluctant']",proud,
hit:9598_conv:19197,lonely,"['lonely', ' hopeful', ' proud']",lonely,1.0
hit:10754_conv:21509,ashamed,"['hopeful', ' resigned', ' relieved']",hopeful,
hit:1626_conv:3252,impressed,"['proud', ' afraid', ' grateful']",proud,
hit:2669_conv:5338,afraid,"['disappointed', ' annoyed', ' hopeful']",disappointed,
hit:5609_conv:11218,ashamed,"['guilty', ' embarrassed', ' hopeful']",guilty,
hit:5819_conv:11638,jealous,"['excited', 'anticipating', 'hopeful']",excited,
hit:1970_conv:3940,jealous,"['annoyed', ' disappointed', ' angry']",annoyed,
hit:3989_conv:7979,devastated,"['devastated', 'sad', 'prepared']",devastated,1.0
hit:4090_conv:8181,embarrassed,"['surprised', 'excited', 'hopeful']",surprised,
hit:7042_conv:14084,trusting,"['hopeful', ' trusting', ' anxious']",hopeful,2.0
hit:9698_conv:19397,disappointed,"['hopeful', 'sad', 'content']",hopeful,
hit:12211_conv:24423,apprehensive,"['disappointed', 'annoyed', 'surprised']",disappointed,
hit:2062_conv:4125,impressed,"['proud', 'impressed', 'happy']",proud,2.0
hit:4090_conv:8181,embarrassed,"['embarrassed', ' relieved', ' amused']",embarrassed,1.0
hit:5031_conv:10063,joyful,"['excited', ' grateful', ' joyful']",excited,3.0
hit:9918_conv:19836,annoyed,"['annoyed', ' angry', ' disappointed']",annoyed,1.0
hit:12211_conv:24423,apprehensive,"['annoyed', 'sad', 'hopeful']",annoyed,
hit:1515_conv:3031,embarrassed,"['embarrassed', ' sad', ' hopeful']",embarrassed,1.0
hit:591_conv:1182,caring,"['sad', ' disappointed', ' anxious']",sad,
hit:7360_conv:14720,hopeful,"['hopeful', ' excited', ' nostalgic']",hopeful,1.0
hit:8923_conv:17846,guilty,"['embarrassed', ' disappointed', ' guilty']",embarrassed,3.0
hit:10270_conv:20541,ashamed,"['embarrassed', ' hopeful', ' content']",embarrassed,
hit:11173_conv:22346,lonely,"['lonely', ' hopeful', ' sad']",lonely,1.0
hit:8696_conv:17393,disappointed,"['disappointed', 'sad', 'hopeful']",disappointed,1.0
hit:8923_conv:17846,guilty,"['concerned', ' hopeful', ' caring']",concerned,
hit:91_conv:182,excited,"['disappointed', ' surprised', ' unsure']",disappointed,
hit:11947_conv:23895,confident,"['confident', ' hopeful', ' prepared']",confident,1.0
hit:12007_conv:24015,joyful,"['excited', 'hopeful', 'grateful']",excited,
hit:6911_conv:13823,proud,"['grateful', ' proud', ' nostalgic']",grateful,2.0
hit:7126_conv:14252,annoyed,"['annoyed', 'sad', 'hopeful']",annoyed,1.0
hit:10995_conv:21990,embarrassed,"['painful', 'surprised', 'concerned']",painful,
hit:3715_conv:7430,nostalgic,"['sentimental', ' nostalgic', ' hopeful']",sentimental,2.0
hit:4774_conv:9548,guilty,"['embarrassed', 'relieved', 'anxious']",embarrassed,
hit:7126_conv:14252,annoyed,"['content', ' hopeful', ' caring']",content,
hit:9122_conv:18244,hopeful,"['hopeful', ' excited', ' surprised']",hopeful,1.0
hit:11486_conv:22972,ashamed,"['guilty', ' grateful', ' anxious']",guilty,
hit:5360_conv:10721,anxious,"['nostalgic', ' relieved', ' amused']",nostalgic,
hit:5940_conv:11880,guilty,"['proud', ' confident', ' grateful']",proud,
hit:8193_conv:16386,hopeful,"['excited', 'hopeful', 'content']",excited,2.0
hit:9342_conv:18685,terrified,"['anxious', 'worried', 'terrified']",anxious,3.0
hit:3084_conv:6168,excited,"['excited', 'hopeful', 'joyful']",excited,1.0
hit:4575_conv:9151,prepared,"['anxious', ' proud', ' hopeful']",anxious,
hit:5940_conv:11880,guilty,"['disappointed', ' content', ' hopeful']",disappointed,
hit:6222_conv:12444,proud,"['proud', 'happy', 'content']",proud,1.0
hit:6992_conv:13985,joyful,"['excited', 'hopeful', 'grateful']",excited,
hit:10865_conv:21730,prepared,"['anxious', ' hopeful', ' grateful']",anxious,
hit:12265_conv:24531,hopeful,"['hopeful', 'excited', 'content']",hopeful,1.0
hit:2147_conv:4294,ashamed,"['disappointed', 'anxious', ' hopeful']",disappointed,
hit:4458_conv:8916,sad,"['proud', ' grateful', ' nostalgic']",proud,
hit:4575_conv:9151,prepared,"['anxious', ' anticipating', ' hopeful']",anxious,
hit:9482_conv:18965,apprehensive,"['anxious', ' afraid', ' hopeful']",anxious,
hit:10865_conv:21730,prepared,"['impressed', ' hopeful', ' relieved']",impressed,
hit:11803_conv:23607,guilty,"['guilty', ' sad', ' angry']",guilty,1.0
hit:4973_conv:9946,angry,"['annoyed', ' disappointed', ' embarrassed']",annoyed,
hit:7288_conv:14576,confident,"['proud', 'hopeful', 'content']",proud,
hit:8368_conv:16736,nostalgic,"['sad', 'sentimental', 'grateful']",sad,
hit:2070_conv:4141,guilty,"['ashamed', ' embarrassed', ' relieved']",ashamed,
hit:277_conv:555,angry,"['sad', ' hopeful', ' caring']",sad,
hit:4973_conv:9946,angry,"['annoyed', ' grateful', ' proud']",annoyed,
hit:5351_conv:10702,jealous,"['sad', ' hopeful', ' caring']",sad,
hit:6305_conv:12610,disgusted,"['disgusted', 'sad', 'grateful']",disgusted,1.0
hit:179_conv:358,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:2070_conv:4141,guilty,"['disappointed', ' hopeful', ' questioning']",disappointed,
hit:3037_conv:6074,hopeful,"['hopeful', 'excited', 'content']",hopeful,1.0
hit:339_conv:679,guilty,"['guilty', 'sad', 'grateful']",guilty,1.0
hit:5101_conv:10202,excited,"['excited', ' hopeful', ' nostalgic']",excited,1.0
hit:11492_conv:22984,hopeful,"['hopeful', 'excited', 'content']",hopeful,1.0
hit:3037_conv:6074,hopeful,"['excited', ' hopeful', ' grateful']",excited,2.0
hit:3112_conv:6225,content,"['excited', 'hopeful', 'impressed']",excited,
hit:6192_conv:12384,afraid,"['anxious', ' disappointed', ' hopeful']",anxious,
hit:7241_conv:14483,content,"['content', ' excited', ' nostalgic']",content,1.0
hit:10277_conv:20555,embarrassed,"['embarrassed', ' content', ' hopeful']",embarrassed,1.0
hit:11007_conv:22015,impressed,"['proud', ' excited', ' grateful']",proud,
hit:11537_conv:23075,apprehensive,"['excited', 'hopeful', 'proud']",excited,
hit:2238_conv:4476,lonely,"['sad', ' angry', ' lonely']",sad,3.0
hit:11007_conv:22015,impressed,"['impressed', 'surprised', 'hopeful']",impressed,1.0
hit:2157_conv:4315,guilty,"['embarrassed', 'sad', 'guilty']",embarrassed,3.0
hit:6086_conv:12172,grateful,"['grateful', ' surprised', ' hopeful']",grateful,1.0
hit:7240_conv:14480,terrified,"['disappointed', 'sad', 'annoyed']",disappointed,
hit:8966_conv:17932,afraid,"['terrified', ' afraid', ' surprised']",terrified,2.0
hit:10233_conv:20466,trusting,"['grateful', ' relieved', ' content']",grateful,
hit:10381_conv:20762,afraid,"['afraid', 'surprised', 'anxious']",afraid,1.0
hit:2157_conv:4315,guilty,"['surprised', ' relieved', ' sympathetic']",surprised,
hit:3596_conv:7193,anticipating,"['excited', 'hopeful', 'proud']",excited,
hit:5458_conv:10917,ashamed,"['anxious', ' ashamed', ' embarrassed']",anxious,2.0
hit:10155_conv:20310,ashamed,"['ashamed', ' hopeful', ' caring']",ashamed,1.0
hit:12240_conv:24481,joyful,"['happy', ' amused', ' content']",happy,
hit:1586_conv:3173,grateful,"['happy', 'excited', 'hopeful']",happy,
hit:4052_conv:8104,proud,"['proud', 'happy', 'excited']",proud,1.0
hit:6904_conv:13809,content,"['excited', ' hopeful', ' content']",excited,3.0
hit:1734_conv:3468,nostalgic,"['nostalgic', ' happy', ' surprised']",nostalgic,1.0
hit:2198_conv:4397,sentimental,"['proud', ' joyful', ' nostalgic']",proud,
hit:3268_conv:6537,anticipating,"['excited', 'anticipating', 'hopeful']",excited,2.0
hit:6207_conv:12414,proud,"['proud', 'hopeful', 'content']",proud,1.0
hit:6904_conv:13809,content,"['excited', ' proud', ' curious']",excited,
hit:10608_conv:21217,sentimental,"['sad', ' nostalgic', ' grateful']",sad,
hit:11295_conv:22591,hopeful,"['excited', ' proud', ' concerned']",excited,
hit:1660_conv:3321,confident,"['happy', ' sad', ' disappointed']",happy,
hit:1775_conv:3551,anxious,"['hopeful', ' excited', ' confident']",hopeful,
hit:3268_conv:6537,anticipating,"['excited', 'hopeful', 'happy']",excited,
hit:11295_conv:22591,hopeful,"['hopeful', ' grateful', ' anxious']",hopeful,1.0
hit:11933_conv:23866,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:3955_conv:7911,embarrassed,"['embarrassed', ' disappointed', ' anxious']",embarrassed,1.0
hit:7315_conv:14630,excited,"['excited', ' anticipating', ' joyful']",excited,1.0
hit:7731_conv:15462,disgusted,"['disgusted', ' relieved', ' embarrassed']",disgusted,1.0
hit:10184_conv:20369,guilty,"['embarrassed', 'sad', 'guilty']",embarrassed,3.0
hit:11608_conv:23217,disgusted,"['disgusted', 'sad', 'concerned']",disgusted,1.0
hit:3955_conv:7911,embarrassed,"['ashamed', ' sad', ' hopeful']",ashamed,
hit:6304_conv:12609,furious,"['frustrated', ' annoyed', ' amused']",frustrated,
hit:8695_conv:17390,disgusted,"['disgusted', 'sad', 'anxious']",disgusted,1.0
hit:11608_conv:23217,disgusted,"['sad', 'worried', 'sympathetic']",sad,
hit:1376_conv:2753,lonely,"['lonely', 'sad', 'disappointed']",lonely,1.0
hit:5311_conv:10622,furious,"['angry', ' surprised', ' disappointed']",angry,
hit:7389_conv:14779,hopeful,"['excited', ' hopeful', ' confident']",excited,2.0
hit:9016_conv:18033,furious,"['annoyed', ' surprised', ' hopeful']",annoyed,
hit:1419_conv:2839,nostalgic,"['nostalgic', ' joyful', ' content']",nostalgic,1.0
hit:361_conv:723,guilty,"['guilty', 'embarrassed', 'sad']",guilty,1.0
hit:5926_conv:11853,afraid,"['worried', 'afraid', 'hopeful']",worried,2.0
hit:764_conv:1529,confident,"['proud', ' confident', ' annoyed']",proud,2.0
hit:7927_conv:15855,proud,"['proud', ' excited', ' hopeful']",proud,1.0
hit:10371_conv:20742,trusting,"['hopeful', ' content', ' grateful']",hopeful,
hit:361_conv:723,guilty,"['happy', ' relieved', ' grateful']",happy,
hit:4933_conv:9867,surprised,"['excited', 'happy', 'surprised']",excited,3.0
hit:7255_conv:14511,angry,"['angry', 'sad', 'frustrated']",angry,1.0
hit:2208_conv:4417,proud,"['proud', ' excited', ' grateful']",proud,1.0
hit:2975_conv:5951,annoyed,"['annoyed', 'sad', 'disappointed']",annoyed,1.0
hit:4963_conv:9926,trusting,"['surprised', ' disappointed', ' skeptical']",surprised,
hit:5863_conv:11726,ashamed,"['guilty', ' upset', ' anxious']",guilty,
hit:7255_conv:14511,angry,"['worried', ' anxious', ' concerned']",worried,
hit:5153_conv:10306,sad,"['sad', 'empathetic', 'sympathetic']",sad,1.0
hit:6219_conv:12438,trusting,"['sad', ' disappointed', ' hopeful']",sad,
hit:8382_conv:16765,impressed,"['proud', ' hopeful', ' prepared']",proud,
hit:8455_conv:16910,sad,"['nostalgic', ' sad', ' proud']",nostalgic,2.0
hit:9799_conv:19598,caring,"['sad', ' caring', ' hopeful']",sad,2.0
hit:4241_conv:8482,jealous,"['jealous', ' annoyed', ' hopeful']",jealous,1.0
hit:4250_conv:8501,faithful,"['proud', ' faithful', ' content']",proud,2.0
hit:650_conv:1301,prepared,"['surprised', 'amused', 'disappointed']",surprised,
hit:6779_conv:13558,jealous,"['jealous', ' envious', ' disappointed']",jealous,1.0
hit:8455_conv:16910,sad,"['sad', 'anxious', 'sympathetic']",sad,1.0
hit:4250_conv:8501,faithful,"['proud', ' grateful', ' caring']",proud,
hit:5097_conv:10194,afraid,"['sad', ' disappointed', ' surprised']",sad,
hit:6346_conv:12693,guilty,"['guilty', 'sad', 'comforting']",guilty,1.0
hit:8259_conv:16519,joyful,"['excited', 'happy', 'annoyed']",excited,
hit:9068_conv:18136,embarrassed,"['embarrassed', ' relieved', ' amused']",embarrassed,1.0
hit:3221_conv:6442,joyful,"['happy', ' grateful', ' joyful']",happy,3.0
hit:3867_conv:7735,afraid,"['afraid', 'anxious', 'terrified']",afraid,1.0
hit:5097_conv:10194,afraid,"['sad', ' hopeful', ' anxious']",sad,
hit:5392_conv:10784,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:5663_conv:11326,nostalgic,"['nostalgic', ' joyful', ' amused']",nostalgic,1.0
hit:5018_conv:10037,furious,"['angry', 'surprised', 'annoyed']",angry,
hit:7826_conv:15652,caring,"['grateful', ' proud', ' joyful']",grateful,
hit:883_conv:1766,impressed,"['surprised', ' grateful', ' anxious']",surprised,
hit:9114_conv:18228,hopeful,"['excited', ' hopeful', ' anxious']",excited,2.0
hit:114_conv:229,embarrassed,"['embarrassed', ' annoyed', ' ashamed']",embarrassed,1.0
hit:3849_conv:7699,caring,"['grateful', ' proud', ' content']",grateful,
hit:8272_conv:16545,guilty,"['guilty', 'embarrassed', 'annoyed']",guilty,1.0
hit:883_conv:1766,impressed,"['grateful', 'relieved', 'hopeful']",grateful,
hit:9187_conv:18374,sad,"['disgusted', 'surprised', 'amazed']",disgusted,
hit:2864_conv:5728,angry,"['angry', ' annoyed', ' frustrated']",angry,1.0
hit:5377_conv:10755,anxious,"['anxious', ' hopeful', ' nervous']",anxious,1.0
hit:6392_conv:12784,guilty,"['guilty', 'sad', 'embarrassed']",guilty,1.0
hit:7294_conv:14589,afraid,"['anxious', ' hopeful', ' anticipating']",anxious,
hit:7582_conv:15164,prepared,"['excited', ' hopeful', ' grateful']",excited,
hit:11034_conv:22068,anticipating,"['excited', 'content', 'hopeful']",excited,
hit:474_conv:949,anxious,"['anxious', ' afraid', ' hopeful']",anxious,1.0
hit:5260_conv:10521,content,"['content', 'relieved', 'hopeful']",content,1.0
hit:7294_conv:14589,afraid,"['anxious', ' nostalgic', ' disappointed']",anxious,
hit:8043_conv:16086,impressed,"['impressed', ' surprised', ' concerned']",impressed,1.0
hit:1050_conv:2101,confident,"['proud', ' grateful', ' content']",proud,
hit:12243_conv:24486,surprised,"['excited', ' grateful', ' surprised']",excited,3.0
hit:5944_conv:11889,apprehensive,"['anxious', ' lonely', ' trusting']",anxious,
hit:8043_conv:16086,impressed,"['surprised', 'anxious', 'protective']",surprised,
hit:8387_conv:16775,surprised,"['surprised', 'anxious', 'relieved']",surprised,1.0
hit:10002_conv:20005,guilty,"['guilty', ' embarrassed', ' anxious']",guilty,1.0
hit:1050_conv:2101,confident,"['hopeful', ' confident', ' content']",hopeful,2.0
hit:1652_conv:3305,embarrassed,"['embarrassed', ' embarrassed', ' amused']",embarrassed,1.0
hit:2339_conv:4678,surprised,"['grateful', ' surprised', ' joyful']",grateful,2.0
hit:5626_conv:11253,hopeful,"['excited', ' hopeful', ' anticipating']",excited,2.0
hit:10159_conv:20319,trusting,"['grateful', ' hopeful', ' trusting']",grateful,3.0
hit:10664_conv:21328,hopeful,"['proud', 'hopeful', 'excited']",proud,2.0
hit:11224_conv:22448,impressed,"['excited', 'proud', 'hopeful']",excited,
hit:5327_conv:10655,surprised,"['grateful', ' happy', ' relieved']",grateful,
hit:5626_conv:11253,hopeful,"['hopeful', 'anxious', 'grateful']",hopeful,1.0
hit:11776_conv:23552,nostalgic,"['nostalgic', ' disappointed', ' annoyed']",nostalgic,1.0
hit:1365_conv:2730,sentimental,"['content', 'sentimental', 'caring']",content,2.0
hit:2922_conv:5844,grateful,"['excited', 'hopeful', 'content']",excited,
hit:3373_conv:6747,nostalgic,"['sad', ' nostalgic', ' hopeful']",sad,2.0
hit:9179_conv:18359,afraid,"['afraid', 'terrified', 'anxious']",afraid,1.0
hit:11978_conv:23956,disappointed,"['disappointed', ' hopeful', ' nostalgic']",disappointed,1.0
hit:1414_conv:2829,furious,"['angry', 'disgusted', 'sad']",angry,
hit:3373_conv:6747,nostalgic,"['sad', ' nostalgic', ' hopeful']",sad,2.0
hit:5746_conv:11492,surprised,"['surprised', 'excited', 'proud']",surprised,1.0
hit:8092_conv:16184,grateful,"['excited', ' grateful', ' hopeful']",excited,2.0
hit:11893_conv:23786,afraid,"['anxious', ' afraid', ' confident']",anxious,2.0
hit:1414_conv:2829,furious,"['angry', 'sad', 'disgusted']",angry,
hit:2862_conv:5725,anticipating,"['excited', ' hopeful', ' proud']",excited,
hit:5695_conv:11390,guilty,"['embarrassed', ' amused', ' relieved']",embarrassed,
hit:9624_conv:19248,caring,"['proud', 'hopeful', 'excited']",proud,
hit:2862_conv:5725,anticipating,"['excited', ' hopeful', ' nostalgic']",excited,
hit:421_conv:842,guilty,"['amused', ' surprised', ' understanding']",amused,
hit:7104_conv:14208,content,"['happy', 'content', 'grateful']",happy,2.0
hit:8118_conv:16236,disgusted,"['angry', 'disgusted', 'annoyed']",angry,2.0
hit:9958_conv:19917,nostalgic,"['nostalgic', ' sad', ' grateful']",nostalgic,1.0
hit:1590_conv:3181,caring,"['excited', ' grateful', ' nostalgic']",excited,
hit:2634_conv:5268,hopeful,"['excited', 'hopeful', 'joyful']",excited,2.0
hit:7199_conv:14399,anxious,"['anxious', 'sad', 'disappointed']",anxious,1.0
hit:8099_conv:16198,guilty,"['disappointed', ' hopeful', ' anxious']",disappointed,
hit:8383_conv:16766,disappointed,"['angry', ' terrified', ' anxious']",angry,
hit:10696_conv:21392,ashamed,"['disappointed', ' anxious', ' embarrassed']",disappointed,
hit:3273_conv:6546,impressed,"['impressed', 'amazed', 'grateful']",impressed,1.0
hit:470_conv:941,sad,"['sad', 'depressed', 'surprised']",sad,1.0
hit:8383_conv:16766,disappointed,"['disappointed', 'angry', 'sad']",disappointed,1.0
hit:9073_conv:18146,confident,"['proud', ' confident', ' amused']",proud,2.0
hit:10696_conv:21392,ashamed,"['proud', ' understanding', ' surprised']",proud,
hit:2991_conv:5983,hopeful,"['hopeful', 'excited', 'content']",hopeful,1.0
hit:4037_conv:8074,lonely,"['lonely', ' hopeful', ' anxious']",lonely,1.0
hit:4812_conv:9624,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:5025_conv:10051,confident,"['excited', ' hopeful', ' content']",excited,
hit:1498_conv:2997,disappointed,"['disappointed', ' sad', ' embarrassed']",disappointed,1.0
hit:4812_conv:9624,proud,"['proud', ' hopeful', ' impressed']",proud,1.0
hit:5319_conv:10638,caring,"['anxious', 'hopeful', 'surprised']",anxious,
hit:7951_conv:15902,grateful,"['grateful', ' relieved', ' supported']",grateful,1.0
hit:8097_conv:16194,furious,"['angry', 'annoyed', 'frustrated']",angry,
hit:8703_conv:17406,content,"['proud', 'confident', 'hopeful']",proud,
hit:11567_conv:23134,ashamed,"['ashamed', 'relieved', 'grateful']",ashamed,1.0
hit:12135_conv:24271,impressed,"['proud', 'excited', 'hopeful']",proud,
hit:1395_conv:2790,proud,"['proud', 'hopeful', 'content']",proud,1.0
hit:1498_conv:2997,disappointed,"['disappointed', 'sad', 'encouraging']",disappointed,1.0
hit:3627_conv:7254,anticipating,"['hopeful', ' excited', ' anticipating']",hopeful,3.0
hit:3627_conv:7254,anticipating,"['surprised', ' relieved', ' disappointed']",surprised,
hit:5526_conv:11052,annoyed,"['annoyed', 'frustrated', 'disappointed']",annoyed,1.0
hit:7271_conv:14542,terrified,"['afraid', 'angry', 'sad']",afraid,
hit:7831_conv:15663,proud,"['excited', 'proud', 'grateful']",excited,2.0
hit:8015_conv:16031,confident,"['excited', ' hopeful', ' confident']",excited,3.0
hit:11060_conv:22121,devastated,"['devastated', ' grateful', ' relieved']",devastated,1.0
hit:11546_conv:23093,devastated,"['devastated', 'sad', 'anxious']",devastated,1.0
hit:3274_conv:6548,confident,"['excited', 'hopeful', 'content']",excited,
hit:3789_conv:7578,embarrassed,"['annoyed', 'frustrated', 'embarrassed']",annoyed,3.0
hit:7271_conv:14542,terrified,"['anxious', ' hopeful', ' anticipating']",anxious,
hit:8171_conv:16342,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:10359_conv:20718,sentimental,"['nostalgic', ' grateful', ' sad']",nostalgic,
hit:10891_conv:21782,confident,"['excited', ' confident', ' proud']",excited,2.0
hit:11432_conv:22865,furious,"['angry', 'sad', 'annoyed']",angry,
hit:3789_conv:7578,embarrassed,"['embarrassed', 'lonely', 'understanding']",embarrassed,1.0
hit:5247_conv:10495,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:10129_conv:20259,jealous,"['excited', ' hopeful', ' grateful']",excited,
hit:3039_conv:6078,faithful,"['worried', 'sad', 'supportive']",worried,
hit:5247_conv:10495,terrified,"['surprised', 'angry', 'concerned']",surprised,
hit:5393_conv:10786,proud,"['excited', ' proud', ' concerned']",excited,2.0
hit:6164_conv:12328,confident,"['confident', 'hopeful', 'encouraging']",confident,1.0
hit:10826_conv:21653,apprehensive,"['sad', 'anxious', ' hopeful']",sad,
hit:2135_conv:4271,angry,"['angry', 'annoyed', 'frustrated']",angry,1.0
hit:6697_conv:13395,terrified,"['worried', ' anxious', ' embarrassed']",worried,
hit:674_conv:1349,disgusted,"['disgusted', ' angry', ' surprised']",disgusted,1.0
hit:8512_conv:17024,sad,"['happy', ' grateful', ' nostalgic']",happy,
hit:4296_conv:8593,disappointed,"['disappointed', ' annoyed', ' hopeful']",disappointed,1.0
hit:4374_conv:8748,trusting,"['excited', 'safe', 'hopeful']",excited,
hit:4396_conv:8793,sad,"['sad', ' devastated', ' nostalgic']",sad,1.0
hit:8512_conv:17024,sad,"['disappointed', 'sad', 'lonely']",disappointed,2.0
hit:8840_conv:17680,content,"['happy', ' grateful', ' curious']",happy,
hit:3110_conv:6220,disappointed,"['disappointed', ' frustrated', ' surprised']",disappointed,1.0
hit:3151_conv:6302,disappointed,"['disappointed', ' relieved', ' annoyed']",disappointed,1.0
hit:3203_conv:6407,terrified,"['afraid', ' disgusted', ' understanding']",afraid,
hit:4414_conv:8829,content,"['excited', 'happy', 'enthusiastic']",excited,
hit:8840_conv:17680,content,"['impressed', ' hopeful', ' confident']",impressed,
hit:12373_conv:24747,proud,"['proud', ' hopeful', ' anticipating']",proud,1.0
hit:3203_conv:6407,terrified,"['surprised', ' afraid', ' amused']",surprised,
hit:5394_conv:10788,joyful,"['happy', 'excited', 'content']",happy,
hit:7301_conv:14602,ashamed,"['ashamed', ' regretful', ' upset']",ashamed,1.0
hit:8090_conv:16180,sad,"['worried', 'sad', 'hopeful']",worried,2.0
hit:11915_conv:23831,apprehensive,"['anxious', ' hopeful', ' content']",anxious,
hit:4128_conv:8256,caring,"['grateful', ' proud', ' content']",grateful,
hit:5969_conv:11938,terrified,"['anxious', ' relieved', ' guilty']",anxious,
hit:7731_conv:15463,proud,"['proud', 'excited', 'disappointed']",proud,1.0
hit:7987_conv:15974,nostalgic,"['nostalgic', ' happy', ' grateful']",nostalgic,1.0
hit:10817_conv:21635,ashamed,"['disappointed', ' guilty', ' hopeful']",disappointed,
hit:1658_conv:3317,caring,"['content', ' grateful', ' proud']",content,
hit:345_conv:691,confident,"['proud', ' confident', ' grateful']",proud,2.0
hit:5160_conv:10320,content,"['happy', 'excited', 'proud']",happy,
hit:7987_conv:15974,nostalgic,"['nostalgic', ' proud', ' hopeful']",nostalgic,1.0
hit:10490_conv:20980,sentimental,"['nostalgic', ' joyful', ' content']",nostalgic,
hit:10817_conv:21635,ashamed,"['guilty', 'sad', 'hopeful']",guilty,
hit:2962_conv:5924,devastated,"['surprised', ' confused', ' annoyed']",surprised,
hit:5516_conv:11032,excited,"['excited', 'excited', 'hopeful']",excited,1.0
hit:5763_conv:11527,disappointed,"['disappointed', ' annoyed', ' relieved']",disappointed,1.0
hit:1554_conv:3109,disappointed,"['sad', ' grateful', ' worried']",sad,
hit:2645_conv:5291,caring,"['caring', ' anxious', ' happy']",caring,1.0
hit:2962_conv:5924,devastated,"['terrified', ' grateful', ' relieved']",terrified,
hit:3674_conv:7348,proud,"['proud', ' grateful', ' impressed']",proud,1.0
hit:9447_conv:18895,proud,"['proud', ' excited', ' grateful']",proud,1.0
hit:2180_conv:4360,angry,"['annoyed', ' frustrated', ' hopeful']",annoyed,
hit:4347_conv:8695,disgusted,"['surprised', 'disgusted', 'disappointed']",surprised,2.0
hit:6399_conv:12798,sentimental,"['nostalgic', 'sad', 'hopeful']",nostalgic,
hit:7292_conv:14584,annoyed,"['relieved', ' exhausted', ' grateful']",relieved,
hit:9447_conv:18895,proud,"['proud', ' impressed', ' hopeful']",proud,1.0
hit:10689_conv:21378,afraid,"['terrified', 'proud', 'excited']",terrified,
hit:1487_conv:2975,terrified,"['afraid', 'surprised', 'grateful']",afraid,
hit:2214_conv:4429,impressed,"['proud', ' excited', ' hopeful']",proud,
hit:4347_conv:8695,disgusted,"['disgusted', ' horrified', ' surprised']",disgusted,1.0
hit:2866_conv:5733,lonely,"['lonely', ' bored', ' content']",lonely,1.0
hit:3651_conv:7302,prepared,"['excited', 'prepared', 'grateful']",excited,2.0
hit:6158_conv:12316,excited,"['excited', 'anticipating', 'hopeful']",excited,1.0
hit:6370_conv:12740,joyful,"['anxious', ' hopeful', ' proud']",anxious,
hit:8096_conv:16192,confident,"['grateful', ' excited', ' content']",grateful,
hit:2097_conv:4194,angry,"['angry', 'sad', 'tense']",angry,1.0
hit:2866_conv:5733,lonely,"['lonely', 'sad', 'sympathetic']",lonely,1.0
hit:3655_conv:7310,anticipating,"['hopeful', ' disappointed', ' prepared']",hopeful,
hit:8203_conv:16407,confident,"['confident', 'hopeful', 'content']",confident,1.0
hit:8609_conv:17218,furious,"['angry', ' annoyed', ' frustrated']",angry,
hit:11524_conv:23049,prepared,"['excited', ' hopeful', ' proud']",excited,
hit:6888_conv:13777,furious,"['grateful', ' hopeful', ' surprised']",grateful,
hit:7134_conv:14269,devastated,"['disappointed', ' sad', ' frustrated']",disappointed,
hit:8609_conv:17218,furious,"['annoyed', 'frustrated', 'hopeful']",annoyed,
hit:9736_conv:19472,afraid,"['afraid', 'surprised', 'anxious']",afraid,1.0
hit:4244_conv:8489,excited,"['excited', ' joyful', ' surprised']",excited,1.0
hit:4715_conv:9430,content,"['sad', 'anxious', 'grateful']",sad,
hit:5839_conv:11678,ashamed,"['ashamed', ' sad', ' guilty']",ashamed,1.0
